vertex,node_type,node_id,was_selected,added_by_08b,FlowAreaHa
c_114840,c,114840,TRUE,FALSE,2.8600000000000025
c_114841,c,114841,TRUE,FALSE,3.6600000000000033
c_114842,c,114842,TRUE,FALSE,3.650000000000003
c_114843,c,114843,TRUE,FALSE,1.9300000000000015
p_104364,p,104364,FALSE,FALSE,17.13
c_112488,c,112488,TRUE,FALSE,1.8400000000000016
c_112193,c,112193,FALSE,TRUE,2.6300000000000026
c_112194,c,112194,TRUE,FALSE,3.380000000000003
c_112195,c,112195,FALSE,TRUE,3.490000000000003
c_111900,c,111900,TRUE,FALSE,1.5900000000000014
p_102281,p,102281,FALSE,FALSE,2.4
c_111607,c,111607,TRUE,FALSE,2.7700000000000022
c_111608,c,111608,FALSE,TRUE,1.4200000000000013
c_111313,c,111313,FALSE,TRUE,2.5900000000000025
c_111018,c,111018,TRUE,FALSE,2.7800000000000025
c_110723,c,110723,TRUE,FALSE,2.7200000000000024
c_110428,c,110428,FALSE,TRUE,2.8700000000000028
c_110133,c,110133,TRUE,FALSE,3.7600000000000033
c_109838,c,109838,TRUE,FALSE,3.0400000000000027
c_109543,c,109543,TRUE,FALSE,2.950000000000003
c_109248,c,109248,TRUE,FALSE,3.220000000000003
c_109249,c,109249,FALSE,TRUE,1.7400000000000015
c_108954,c,108954,TRUE,FALSE,3.940000000000003
c_108955,c,108955,TRUE,FALSE,2.7800000000000025
c_108956,c,108956,TRUE,FALSE,1.7600000000000016
p_100625,p,100625,FALSE,FALSE,30.3
c_107478,c,107478,TRUE,FALSE,1.040000000000001
p_100209,p,100209,FALSE,FALSE,38.16
c_106593,c,106593,TRUE,FALSE,2.040000000000002
p_99051,p,99051,FALSE,FALSE,15.8
c_105412,c,105412,TRUE,FALSE,1.6000000000000014
p_97830,p,97830,FALSE,FALSE,40.74
c_103050,c,103050,FALSE,TRUE,2.2500000000000018
c_103049,c,103049,TRUE,FALSE,1.6200000000000014
c_103048,c,103048,TRUE,FALSE,1.9200000000000017
c_102753,c,102753,TRUE,FALSE,1.9300000000000015
p_96298,p,96298,FALSE,FALSE,50.82
c_101865,c,101865,FALSE,TRUE,1.9900000000000015
p_95703,p,95703,FALSE,FALSE,8.48
c_100682,c,100682,TRUE,FALSE,1.3400000000000012
p_95016,p,95016,FALSE,FALSE,2.08
c_100092,c,100092,TRUE,FALSE,1.8200000000000016
p_94581,p,94581,FALSE,FALSE,2.75
c_99799,c,99799,TRUE,FALSE,1.0000000000000009
c_99504,c,99504,TRUE,FALSE,3.7200000000000033
c_99209,c,99209,TRUE,FALSE,1.170000000000001
p_94104,p,94104,FALSE,FALSE,6.53
c_98326,c,98326,TRUE,FALSE,2.0000000000000018
c_98031,c,98031,TRUE,FALSE,2.4700000000000024
p_93347,p,93347,FALSE,FALSE,3.51
c_97739,c,97739,TRUE,FALSE,1.3200000000000012
p_93353,p,93353,FALSE,FALSE,85.94
c_96268,c,96268,TRUE,FALSE,2.480000000000002
c_95973,c,95973,TRUE,FALSE,3.2900000000000027
c_95678,c,95678,TRUE,FALSE,1.5400000000000014
p_91733,p,91733,FALSE,FALSE,29.98
c_94797,c,94797,TRUE,FALSE,1.050000000000001
c_94798,c,94798,TRUE,FALSE,3.270000000000003
c_95093,c,95093,TRUE,FALSE,3.4300000000000033
c_95094,c,95094,TRUE,FALSE,3.4700000000000033
c_95095,c,95095,TRUE,FALSE,3.0100000000000025
c_95096,c,95096,TRUE,FALSE,2.650000000000002
p_91348,p,91348,FALSE,FALSE,4.43
c_94508,c,94508,TRUE,FALSE,1.5300000000000014
p_92319,p,92319,FALSE,FALSE,65.82
c_96582,c,96582,TRUE,FALSE,3.0100000000000025
c_96583,c,96583,TRUE,FALSE,3.280000000000003
c_96584,c,96584,TRUE,FALSE,3.620000000000003
c_96289,c,96289,TRUE,FALSE,2.9300000000000024
c_96290,c,96290,TRUE,FALSE,3.560000000000003
c_95995,c,95995,TRUE,FALSE,1.7000000000000015
p_92010,p,92010,FALSE,FALSE,0.96
c_95701,c,95701,TRUE,FALSE,2.500000000000002
c_95406,c,95406,TRUE,FALSE,1.100000000000001
c_95111,c,95111,TRUE,FALSE,1.5800000000000014
p_91233,p,91233,FALSE,FALSE,1.72
c_94521,c,94521,TRUE,FALSE,1.9000000000000017
c_94226,c,94226,TRUE,FALSE,3.0000000000000027
c_93931,c,93931,TRUE,FALSE,2.3500000000000023
c_93636,c,93636,TRUE,FALSE,1.0000000000000009
