network_name	patch_id	counted_area_ha	total_patch_ha
Global	84163	0.03000000	0.03000000
Global	84208	0.53000000	0.53000000
Global	84211	0.03000000	0.03000000
Global	84239	0.01000000	0.01000000
Global	84280	0.23000000	0.23000000
Global	84346	0.32000000	0.32000000
Global	84625	0.62000000	0.62000000
Global	84627	4.94000000	4.94000000
Global	84660	0.08000000	0.08000000
Global	84706	0.18000000	0.18000000
Global	84746	0.29000000	0.29000000
Global	84753	0.01000000	0.01000000
Global	84760	0.01000000	0.01000000
Global	84762	13.51000000	13.51000000
Global	84767	0.64000000	0.64000000
Global	84782	0.01000000	0.01000000
Global	84788	0.13000000	0.13000000
Global	84802	0.10000000	0.10000000
Global	84805	0.23000000	0.23000000
Global	84811	0.11000000	0.11000000
Global	84815	0.01000000	0.01000000
Global	84818	3.36000000	3.36000000
Global	84825	0.17000000	0.17000000
Global	84844	0.08000000	0.08000000
Global	84861	0.71000000	0.71000000
Global	84868	0.29000000	0.29000000
Global	84967	0.11000000	0.11000000
Global	84992	0.01000000	0.01000000
Global	85049	4.78000000	4.78000000
Global	85057	0.12000000	0.12000000
Global	85076	0.39000000	0.39000000
Global	85127	3.99000000	3.99000000
Global	85137	0.01000000	0.01000000
Global	85138	0.01000000	0.01000000
Global	85146	0.01000000	0.01000000
Global	85155	0.01000000	0.01000000
Global	85202	0.22000000	0.22000000
Global	85203	0.47000000	0.47000000
Global	85212	0.03000000	0.03000000
Global	85213	1.38000000	1.38000000
Global	85225	0.02000000	0.02000000
Global	85244	0.01000000	0.01000000
Global	85289	0.23000000	0.23000000
Global	85308	8.78000000	8.78000000
Global	85355	0.45000000	0.45000000
Global	85377	8.83000000	8.83000000
Global	85462	19.66000000	19.66000000
Global	85463	1.64000000	1.64000000
Global	85465	8.61000000	8.61000000
Global	85472	12.94000000	12.94000000
Global	85476	0.01000000	0.01000000
Global	85491	0.01000000	0.01000000
Global	85517	0.06000000	0.06000000
Global	85531	0.06000000	0.06000000
Global	85547	0.08000000	0.08000000
Global	85564	0.82000000	0.82000000
Global	85565	1.48000000	1.48000000
Global	85571	1.38000000	1.38000000
Global	85582	1.87000000	1.87000000
Global	85586	0.69000000	0.69000000
Global	85608	0.05000000	0.05000000
Global	85634	0.44000000	0.44000000
Global	85684	0.65000000	0.65000000
Global	85703	12.61000000	12.61000000
Global	85704	34.94000000	34.94000000
Global	85708	0.02000000	0.02000000
Global	85733	0.92000000	0.92000000
Global	85736	2.85000000	2.85000000
Global	85751	2.96000000	2.96000000
Global	85754	0.09000000	0.09000000
Global	85773	0.01000000	0.01000000
Global	85807	2.74000000	2.74000000
Global	85845	0.15000000	0.15000000
Global	85853	3.53000000	3.53000000
Global	85856	0.16000000	0.16000000
Global	85860	0.01000000	0.01000000
Global	85864	2.98000000	2.98000000
Global	85873	0.07000000	0.07000000
Global	85874	0.01000000	0.01000000
Global	85900	0.12000000	0.12000000
Global	85921	0.14000000	0.14000000
Global	85925	0.71000000	0.71000000
Global	85929	0.01000000	0.01000000
Global	86006	0.02000000	0.02000000
Global	86011	5.25000000	5.25000000
Global	86073	2.22000000	2.22000000
Global	86088	4.90000000	4.90000000
Global	86098	4.47000000	4.47000000
Global	86116	1.59000000	1.59000000
Global	86117	0.31000000	0.31000000
Global	86217	8.04000000	8.04000000
Global	86265	15.92000000	15.92000000
Global	86287	0.32000000	0.32000000
Global	86326	2.43000000	2.43000000
Global	86347	1.78000000	1.78000000
Global	86402	5.50000000	5.50000000
Global	86433	0.01000000	0.01000000
Global	86441	0.02000000	0.02000000
Global	86448	2.19000000	2.19000000
Global	86475	0.01000000	0.01000000
Global	86625	0.01000000	0.01000000
Global	86637	0.01000000	0.01000000
Global	86653	3.23000000	3.23000000
Global	86658	0.01000000	0.01000000
Global	86661	2.13000000	2.13000000
Global	86697	0.01000000	0.01000000
Global	86707	0.01000000	0.01000000
Global	86715	0.88000000	0.88000000
Global	86721	9.86000000	9.86000000
Global	86723	10.01000000	10.01000000
Global	86730	2.67000000	2.67000000
Global	86766	0.16000000	0.16000000
Global	86822	0.05000000	0.05000000
Global	86832	2.94000000	2.94000000
Global	86863	1.82000000	1.82000000
Global	86875	3.08000000	3.08000000
Global	86893	0.33000000	0.33000000
Global	86922	0.01000000	0.01000000
Global	86940	0.01000000	0.01000000
Global	86948	15.35000000	15.35000000
Global	86965	0.01000000	0.01000000
Global	86978	5.71000000	5.71000000
Global	87015	12.56000000	12.56000000
Global	87028	9.94000000	9.94000000
Global	87043	0.55000000	0.55000000
Global	87050	7.64000000	7.64000000
Global	87085	10.48000000	10.48000000
Global	87099	0.01000000	0.01000000
Global	87242	0.01000000	0.01000000
Global	87282	3.17000000	3.17000000
Global	87317	10.23000000	10.23000000
Global	87354	2.13000000	2.13000000
Global	87391	1.21000000	1.21000000
Global	87431	5.17000000	5.17000000
Global	87558	2.02000000	2.02000000
Global	87609	0.01000000	0.01000000
Global	87623	0.01000000	0.01000000
Global	87629	0.01000000	0.01000000
Global	87632	8.34000000	8.34000000
Global	87642	0.01000000	0.01000000
Global	87649	0.01000000	0.01000000
Global	87660	1.35000000	1.35000000
Global	87781	0.17000000	0.17000000
Global	87806	1.80000000	1.80000000
Global	87839	3.13000000	3.13000000
Global	87969	21.98000000	21.98000000
Global	88018	2.49000000	2.49000000
Global	88263	3.73000000	3.73000000
Global	88305	20.87000000	20.87000000
Global	89563	0.02000000	0.02000000
Global	89568	0.29000000	0.29000000
Global	89671	5.92000000	5.92000000
Global	89731	0.90000000	0.90000000
Global	89832	6.99000000	6.99000000
Global	89895	0.81000000	0.81000000
Global	89904	8.84000000	8.84000000
Global	89911	0.02000000	0.02000000
Global	89944	0.01000000	0.01000000
Global	89960	0.01000000	0.01000000
Global	90011	0.04000000	0.04000000
Global	90019	0.01000000	0.01000000
Global	90028	0.01000000	0.01000000
Global	90056	0.04000000	0.04000000
Global	90067	0.01000000	0.01000000
Global	90105	3.43000000	3.43000000
Global	90109	1.39000000	1.39000000
Global	90116	0.05000000	0.05000000
Global	90129	0.48000000	0.48000000
Global	90191	0.01000000	0.01000000
Global	90204	0.01000000	0.01000000
Global	90216	15.35000000	15.35000000
Global	90223	0.06000000	0.06000000
Global	90306	0.21000000	0.21000000
Global	90516	1.89000000	1.89000000
Global	90679	0.01000000	0.01000000
Global	90682	35.82000000	35.82000000
Global	90705	0.01000000	0.01000000
Global	90738	0.01000000	0.01000000
Global	90769	0.01000000	0.01000000
Global	90788	0.01000000	0.01000000
Global	90797	0.01000000	0.01000000
Global	90807	0.01000000	0.01000000
Global	90811	0.03000000	0.03000000
Global	90833	0.01000000	0.01000000
Global	90840	0.02000000	0.02000000
Global	90905	30.05000000	30.05000000
Global	90906	1.52000000	1.52000000
Global	90956	2.25000000	2.25000000
Global	90978	0.02000000	0.02000000
Global	91021	0.37000000	0.37000000
Global	91061	0.02000000	0.02000000
Global	91064	2.83000000	2.83000000
Global	91070	0.77000000	0.77000000
Global	91075	0.01000000	0.01000000
Global	91076	8.37000000	8.37000000
Global	91092	1.28000000	1.28000000
Global	91211	0.85000000	0.85000000
Global	91233	1.72000000	1.72000000
Global	91237	21.96000000	21.96000000
Global	91348	4.43000000	4.43000000
Global	91359	0.01000000	0.01000000
Global	91386	0.07000000	0.07000000
Global	91394	0.55000000	0.55000000
Global	91396	0.01000000	0.01000000
Global	91397	0.04000000	0.04000000
Global	91411	0.06000000	0.06000000
Global	91446	0.21000000	0.21000000
Global	91458	0.12000000	0.12000000
Global	91500	0.05000000	0.05000000
Global	91516	0.43000000	0.43000000
Global	91535	0.03000000	0.03000000
Global	91555	0.01000000	0.01000000
Global	91583	0.01000000	0.01000000
Global	91606	0.11000000	0.11000000
Global	91618	0.01000000	0.01000000
Global	91628	0.87000000	0.87000000
Global	91635	0.01000000	0.01000000
Global	91696	6.63000000	6.63000000
Global	91723	0.08000000	0.08000000
Global	91729	0.02000000	0.02000000
Global	91731	0.07000000	0.07000000
Global	91732	0.01000000	0.01000000
Global	91733	29.98000000	29.98000000
Global	91795	5.38000000	5.38000000
Global	91797	1.21000000	1.21000000
Global	91803	0.02000000	0.02000000
Global	91811	0.15000000	0.15000000
Global	91823	3.66000000	3.66000000
Global	91829	0.01000000	0.01000000
Global	91839	0.16000000	0.16000000
Global	91853	0.15000000	0.15000000
Global	91864	0.85000000	0.85000000
Global	91880	1.92000000	1.92000000
Global	91888	1.08000000	1.08000000
Global	91905	0.01000000	0.01000000
Global	91917	0.01000000	0.01000000
Global	91918	0.01000000	0.01000000
Global	91919	0.95000000	0.95000000
Global	91921	0.25000000	0.25000000
Global	91945	0.50000000	0.50000000
Global	91951	0.02000000	0.02000000
Global	92003	0.82000000	0.82000000
Global	92005	0.01000000	0.01000000
Global	92010	0.96000000	0.96000000
Global	92044	11.26000000	11.26000000
Global	92052	0.21000000	0.21000000
Global	92064	0.01000000	0.01000000
Global	92094	0.75000000	0.75000000
Global	92099	0.01000000	0.01000000
Global	92117	0.08000000	0.08000000
Global	92119	0.01000000	0.01000000
Global	92135	0.01000000	0.01000000
Global	92185	24.93000000	24.93000000
Global	92189	0.01000000	0.01000000
Global	92199	11.67000000	11.67000000
Global	92206	9.51000000	9.51000000
Global	92237	0.01000000	0.01000000
Global	92242	0.10000000	0.10000000
Global	92243	0.01000000	0.01000000
Global	92245	5.44000000	5.44000000
Global	92256	0.01000000	0.01000000
Global	92257	0.01000000	0.01000000
Global	92309	0.04000000	0.04000000
Global	92312	0.46000000	0.46000000
Global	92319	65.82000000	65.82000000
Global	92321	1.18000000	1.18000000
Global	92337	0.01000000	0.01000000
Global	92342	0.01000000	0.01000000
Global	92350	0.02000000	0.02000000
Global	92358	0.45000000	0.45000000
Global	92360	0.65000000	0.65000000
Global	92377	0.64000000	0.64000000
Global	92395	0.19000000	0.19000000
